z         nuclide   A         mass                uncertainty         Year/link 
23        V         66        65.993237           0.000537            2020      
23        V         67        66.998128           0.000644            2020      
--------------------------------------------------------------------------------
24        Cr        41        41.021911           0.000429            2020      
24        Cr        42        42.007579           0.000322            2020      
24        Cr        43        42.997885           0.000215            2020      
24        Cr        44        43.985591000        0.000055000         2020      
24        Cr        45        44.979050000        0.000038000         2020      
24        Cr        46        45.968360969        0.000012295         2020      
24        Cr        47        46.962894995        0.000005578         2020      
24        Cr        48        47.954029431        0.000007848         2020      
24        Cr        49        48.951333720        0.000002363         2020      
24        Cr        50        49.946042209        0.000000100         2020      
24        Cr        51        50.944765388        0.000000178         2020      
24        Cr        52        51.940504714        0.000000120         2020      
24        Cr        53        52.940646304        0.000000124         2020      
24        Cr        54        53.938877359        0.000000142         2020      
24        Cr        55        54.940836637        0.000000245         2020      
24        Cr        56        55.940648977        0.000000620         2020      
24        Cr        57        56.943612112        0.000002000         2020      
24        Cr        58        57.944184501        0.000003200         2020      
24        Cr        59        58.948345426        0.000000720         2020      
24        Cr        60        59.949641656        0.000001200         2020      
24        Cr        61        60.954378130        0.000002000         2020      
24        Cr        62        61.956142920        0.000003700         2020      
24        Cr        63        62.961161000        0.000078000         2020      
24        Cr        64        63.963886000        0.000322000         2020      
24        Cr        65        64.969608           0.000215            2020      
24        Cr        66        65.973011           0.000322            2020      
24        Cr        67        66.979313           0.000429            2020      
24        Cr        68        67.983156           0.000537            2020      
24        Cr        69        68.989662           0.000537            2020      
24        Cr        70        69.993945           0.000644            2020      
--------------------------------------------------------------------------------
25        Mn        43        43.018647           0.000429            2020      
25        Mn        44        44.008009           0.000322            2020      
25        Mn        45        44.994654           0.000322            2020      
25        Mn        46        45.986669000        0.000093000         2020      
25        Mn        47        46.975774000        0.000034000         2020      
25        Mn        48        47.968548760        0.000007191         2020      
25        Mn        49        48.959613350        0.000002377         2020      
25        Mn        50        49.954238157        0.000000123         2020      
25        Mn        51        50.948208770        0.000000326         2020      
25        Mn        52        51.945559090        0.000000138         2020      
25        Mn        53        52.941287497        0.000000371         2020      
25        Mn        54        53.940355772        0.000001080         2020      
25        Mn        55        54.938043040        0.000000279         2020      
25        Mn        56        55.938902816        0.000000314         2020      
25        Mn        57        56.938285944        0.000001615         2020      
25        Mn        58        57.940066643        0.000002900         2020      
25        Mn        59        58.940391111        0.000002500         2020      
25        Mn        60        59.943136574        0.000002500         2020      
25        Mn        61        60.944452541        0.000002500         2020      
25        Mn        62        61.947907384        0.000007023         2020      
